Start Time,Elapsed Time,Machine Name,Login,Level,Message,Exception
2021-02-05 19:21:24.0613,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:21:24.1483,    0.0870,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-05 19:21:24.1583,    0.0100,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From :  Into []..dbo.,
2021-02-05 19:21:24.2193,    0.0610,PMIIDIDNL12967,PMI\mamrulla,ERROR,Error!,"System.NullReferenceException: Object reference not set to an instance of an object.
   at testExcel.ExcelToDatatable.Conversion(Dictionary`2 dictionary, String[] columnsTypeToAdd)
   at testexcel.Program.RunOptions(Options opts)"
2021-02-05 19:21:24.3603,    0.1410,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 299ms,
2021-02-05 19:22:36.3758,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:22:36.4390,    0.0632,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-05 19:22:36.4390,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From :  Into []..dbo.,
2021-02-05 19:22:36.4769,    0.0380,PMIIDIDNL12967,PMI\mamrulla,ERROR,Error!,"System.NullReferenceException: Object reference not set to an instance of an object.
   at testExcel.ExcelToDatatable.Conversion(Dictionary`2 dictionary, String[] columnsTypeToAdd)
   at testexcel.Program.RunOptions(Options opts)"
2021-02-05 19:22:36.4899,    0.0130,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 114ms,
2021-02-05 19:23:08.5155,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:23:08.6395,    0.1240,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-05 19:23:08.6565,    0.0170,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From :  Into []..dbo.,
2021-02-05 19:23:08.7445,    0.0880,PMIIDIDNL12967,PMI\mamrulla,ERROR,Error!,"System.NullReferenceException: Object reference not set to an instance of an object.
   at testExcel.ExcelToDatatable.Conversion(Dictionary`2 dictionary, String[] columnsTypeToAdd)
   at testexcel.Program.RunOptions(Options opts)"
2021-02-05 19:23:08.7795,    0.0350,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 252ms,
2021-02-05 19:24:02.1947,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:24:02.2617,    0.0670,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-05 19:24:02.2767,    0.0150,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From :  Into []..dbo.,
2021-02-05 19:24:02.3427,    0.0660,PMIIDIDNL12967,PMI\mamrulla,ERROR,Error!,"System.NullReferenceException: Object reference not set to an instance of an object.
   at testExcel.ExcelToDatatable.Conversion(Dictionary`2 dictionary, String[] columnsTypeToAdd)
   at testexcel.Program.RunOptions(Options opts)"
2021-02-05 19:24:31.2048,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:24:31.2848,    0.0800,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-05 19:24:31.3068,    0.0220,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From :  Into []..dbo.,
2021-02-05 19:24:31.3528,    0.0460,PMIIDIDNL12967,PMI\mamrulla,ERROR,Error!,"System.NullReferenceException: Object reference not set to an instance of an object.
   at testExcel.ExcelToDatatable.Conversion(Dictionary`2 dictionary, String[] columnsTypeToAdd)
   at testexcel.Program.RunOptions(Options opts)"
2021-02-05 19:24:31.3668,    0.0140,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 151ms,
2021-02-05 19:40:10.1978,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:41:10.1817,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:52:17.7622,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:56:41.7070,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:58:22.7466,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:58:22.8736,    0.1270,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 120ms,
2021-02-05 19:58:36.1558,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 19:58:59.8775,   23.7217,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 23045ms,
2021-02-05 20:05:00.9814,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-05 20:05:14.7659,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
